Customer_Id,Product_Id,Transaction Type,Category,Amount (in dollars),Purchase Date,Payment Mode
ORG_US_741,5597,Retail Shopping,Fashion & Clothing,248792.0,2024-07-16,Debit Card
ORG_US_203,7958,Retail Shopping,Subscription & Promotions,331760.0,2024-08-21,Pay Transfer
CUST3791,6612,Subscription Payment,Subscription & Promotions,256946.0,2025-01-30,Credit Card
ORG_US_406,6644,BNP Usage,Fashion & Clothing,471706.0,2024-06-03,Wire Transfer
ORG_US_856,4507,BNP Usage,Subscription & Promotions,419724.0,2025-01-17,Credit Card
ORG_US_070,7983,Real Estate Booking,Subscription & Promotions,285716.0,2024-09-15,Wire Transfer
ORG_US_1491,8009,BNP Usage,Subscription & Promotions,326848.0,2024-04-18,Credit Card
CUST2764,5663,Subscription Payment,Subscription & Promotions,127410.0,2025-03-04,Pay Transfer
ORG_US_1543,8042,Retail Shopping,Finance & Banking,472998.0,2024-12-19,Wire Transfer
ORG_US_822,5574,Retail Shopping,Subscription & Promotions,419965.0,2024-10-17,Debit Card
CUST2514,4697,Retail Shopping,Subscription & Promotions,66122.0,2024-09-15,Debit Card
ORG_US_049,3836,Real Estate Booking,Subscription & Promotions,131692.0,2024-11-01,Wire Transfer
CUST3209,6681,BNP Usage,Real Estate,130581.0,2025-01-14,Wire Transfer
CUST2935,1655,Retail Shopping,Subscription & Promotions,81253.0,2024-11-08,Pay Transfer
CUST3418,2310,Retail Shopping,Finance & Banking,450407.0,2024-02-06,Debit Card
CUST3895,2752,BNP Usage,Real Estate,51171.0,2024-06-12,Credit Card
ORG_US_1172,5844,Subscription Payment,Subscription & Promotions,60759.0,2024-05-25,Wire Transfer
ORG_US_436,4411,Subscription Payment,Subscription & Promotions,333709.0,2024-04-16,Wire Transfer
CUST3354,3886,BNP Usage,Finance & Banking,270531.0,2024-09-06,Wire Transfer
ORG_US_1551,3813,Real Estate Booking,Subscription & Promotions,331104.0,2024-11-29,Credit Card
ORG_US_590,5051,Subscription Payment,Real Estate,118507.0,2024-11-25,Debit Card
CUST2118,6080,Subscription Payment,Fashion & Clothing,229874.0,2024-02-21,Debit Card
ORG_US_173,4251,Retail Shopping,Subscription & Promotions,99836.0,2024-07-22,Pay Transfer
CUST2736,8853,BNP Usage,Real Estate,428493.0,2024-08-02,Debit Card
ORG_US_768,7812,Subscription Payment,Subscription & Promotions,325755.0,2024-02-24,Wire Transfer
CUST2351,4847,BNP Usage,Subscription & Promotions,365035.0,2024-03-20,Pay Transfer
ORG_US_1377,976,Retail Shopping,Real Estate,207171.0,2024-07-14,Debit Card
CUST3067,8357,Subscription Payment,Finance & Banking,223254.0,2024-06-05,Debit Card
CUST3395,991,Subscription Payment,Finance & Banking,392440.0,2025-02-04,Pay Transfer
ORG_US_223,4411,Subscription Payment,Real Estate,333895.0,2024-07-10,Pay Transfer
ORG_US_639,6411,Subscription Payment,Finance & Banking,60511.0,2024-07-11,Pay Transfer
ORG_US_460,7651,Retail Shopping,Finance & Banking,489780.0,2024-10-29,Wire Transfer
CUST3767,7920,Subscription Payment,Finance & Banking,228283.0,2025-01-27,Wire Transfer
ORG_US_1613,2441,Real Estate Booking,Finance & Banking,393434.0,2024-01-19,Wire Transfer
ORG_US_1253,2081,BNP Usage,Subscription & Promotions,194881.0,2024-07-31,Credit Card
ORG_US_1989,3643,BNP Usage,Subscription & Promotions,221064.0,2024-06-14,Credit Card
ORG_US_733,8627,Subscription Payment,Real Estate,196886.0,2025-02-13,Wire Transfer
CUST2771,8413,Real Estate Booking,Finance & Banking,326766.0,2024-03-05,Pay Transfer
CUST2804,7014,BNP Usage,Fashion & Clothing,113372.0,2024-06-20,Credit Card
ORG_US_483,5598,Real Estate Booking,Subscription & Promotions,362542.0,2024-10-03,Wire Transfer
CUST3864,2887,Real Estate Booking,Real Estate,253220.0,2024-10-06,Credit Card
CUST2254,4008,Subscription Payment,Subscription & Promotions,165778.0,2024-10-24,Wire Transfer
ORG_US_309,2405,BNP Usage,Subscription & Promotions,13577.0,2024-12-12,Wire Transfer
ORG_US_1138,342,BNP Usage,Fashion & Clothing,411507.0,2024-11-18,Pay Transfer
ORG_US_1713,6786,BNP Usage,Finance & Banking,247941.0,2024-07-05,Wire Transfer
CUST2411,260,BNP Usage,Fashion & Clothing,304340.0,2025-01-17,Debit Card
ORG_US_546,1367,Real Estate Booking,Finance & Banking,254198.0,2024-09-23,Wire Transfer
ORG_US_041,9047,Real Estate Booking,Finance & Banking,460671.0,2024-11-24,Wire Transfer
ORG_US_993,848,Subscription Payment,Subscription & Promotions,440357.0,2024-01-22,Wire Transfer
ORG_US_554,8520,Real Estate Booking,Subscription & Promotions,445761.0,2024-06-08,Wire Transfer
ORG_US_1620,778,BNP Usage,Subscription & Promotions,205842.0,2024-11-20,Credit Card
ORG_US_117,2091,BNP Usage,Subscription & Promotions,58981.0,2025-02-04,Pay Transfer
CUST2306,6229,Subscription Payment,Finance & Banking,311689.0,2025-02-26,Debit Card
CUST3295,1203,Real Estate Booking,Fashion & Clothing,90623.0,2024-08-13,Wire Transfer
CUST3100,8974,Retail Shopping,Subscription & Promotions,310428.0,2024-05-07,Pay Transfer
ORG_US_1452,7837,BNP Usage,Real Estate,7239.0,2024-12-18,Credit Card
CUST3231,7204,BNP Usage,Real Estate,144946.0,2024-07-30,Pay Transfer
CUST2186,4941,Retail Shopping,Fashion & Clothing,77030.0,2025-01-19,Credit Card
CUST2235,1206,Retail Shopping,Fashion & Clothing,32718.0,2024-10-15,Credit Card
ORG_US_712,7384,Retail Shopping,Subscription & Promotions,243261.0,2025-02-07,Debit Card
ORG_US_583,8587,Retail Shopping,Subscription & Promotions,459919.0,2024-11-17,Credit Card
CUST2359,7476,Subscription Payment,Subscription & Promotions,86861.0,2025-02-27,Wire Transfer
ORG_US_1775,9035,Retail Shopping,Fashion & Clothing,486711.0,2024-06-26,Pay Transfer
CUST2943,1954,BNP Usage,Fashion & Clothing,281043.0,2024-10-16,Credit Card
ORG_US_1560,9844,Subscription Payment,Subscription & Promotions,199642.0,2024-08-23,Credit Card
CUST3327,2774,Retail Shopping,Finance & Banking,464954.0,2024-04-11,Debit Card
ORG_US_169,6263,BNP Usage,Real Estate,360367.0,2024-06-28,Pay Transfer
ORG_US_586,9037,Retail Shopping,Subscription & Promotions,364259.0,2024-07-28,Credit Card
CUST2461,7952,Retail Shopping,Fashion & Clothing,492913.0,2024-07-30,Wire Transfer
CUST3991,5523,Retail Shopping,Real Estate,446657.0,2024-02-25,Debit Card
CUST2848,5518,Retail Shopping,Finance & Banking,393218.0,2024-03-29,Debit Card
CUST3950,9353,Retail Shopping,Finance & Banking,378335.0,2025-01-04,Credit Card
CUST2866,4885,Real Estate Booking,Subscription & Promotions,491590.0,2024-04-20,Credit Card
ORG_US_129,7603,BNP Usage,Real Estate,125232.0,2024-02-05,Pay Transfer
CUST2430,3278,Retail Shopping,Real Estate,29152.0,2024-07-28,Credit Card
ORG_US_1875,1857,Retail Shopping,Real Estate,91013.0,2024-11-05,Pay Transfer
CUST3030,6900,Real Estate Booking,Real Estate,61972.0,2024-11-09,Wire Transfer
CUST3459,785,Real Estate Booking,Subscription & Promotions,236286.0,2024-11-12,Debit Card
ORG_US_828,4398,BNP Usage,Real Estate,234233.0,2024-08-04,Debit Card
ORG_US_1450,5495,Real Estate Booking,Subscription & Promotions,351133.0,2024-11-28,Pay Transfer
CUST2758,4285,Real Estate Booking,Subscription & Promotions,452512.0,2024-09-22,Wire Transfer
ORG_US_1679,288,Retail Shopping,Finance & Banking,246876.0,2024-03-02,Wire Transfer
ORG_US_1320,3443,BNP Usage,Fashion & Clothing,369078.0,2025-02-20,Debit Card
CUST2855,4148,Retail Shopping,Subscription & Promotions,299195.0,2024-07-16,Credit Card
CUST2389,6929,Retail Shopping,Real Estate,243236.0,2024-06-02,Debit Card
ORG_US_1195,8726,Retail Shopping,Finance & Banking,417471.0,2025-02-28,Wire Transfer
CUST3745,5804,Retail Shopping,Subscription & Promotions,159693.0,2024-08-29,Wire Transfer
ORG_US_382,8049,BNP Usage,Subscription & Promotions,416362.0,2024-01-07,Pay Transfer
CUST3768,2446,Retail Shopping,Subscription & Promotions,343282.0,2024-08-02,Credit Card
CUST3156,8593,Retail Shopping,Real Estate,68811.0,2024-09-03,Debit Card
CUST2306,7423,BNP Usage,Real Estate,425370.0,2024-08-05,Debit Card
ORG_US_1947,6627,BNP Usage,Subscription & Promotions,392279.0,2024-03-27,Credit Card
CUST3391,1151,Real Estate Booking,Finance & Banking,252812.0,2024-11-20,Debit Card
CUST3967,5118,Retail Shopping,Real Estate,466104.0,2024-04-10,Wire Transfer
ORG_US_573,9604,BNP Usage,Subscription & Promotions,250689.0,2024-07-16,Pay Transfer
CUST3679,9449,BNP Usage,Finance & Banking,205610.0,2024-12-13,Pay Transfer
ORG_US_442,2458,Real Estate Booking,Subscription & Promotions,304115.0,2024-10-10,Pay Transfer
CUST2356,5875,Real Estate Booking,Subscription & Promotions,218683.0,2025-03-14,Wire Transfer
ORG_US_968,8663,Real Estate Booking,Finance & Banking,387496.0,2025-03-19,Wire Transfer
ORG_US_905,5594,Retail Shopping,Finance & Banking,177831.0,2024-05-12,Credit Card
CUST3905,2168,BNP Usage,Fashion & Clothing,263593.0,2024-07-22,Debit Card
ORG_US_569,9883,Subscription Payment,Fashion & Clothing,198114.0,2024-09-12,Wire Transfer
ORG_US_1709,7138,Real Estate Booking,Fashion & Clothing,473163.0,2024-12-31,Wire Transfer
ORG_US_773,5710,Real Estate Booking,Fashion & Clothing,193365.0,2024-01-23,Debit Card
ORG_US_1009,5390,Subscription Payment,Real Estate,198614.0,2024-10-23,Wire Transfer
ORG_US_1864,3695,Real Estate Booking,Real Estate,182295.0,2024-11-25,Wire Transfer
ORG_US_708,2966,Retail Shopping,Subscription & Promotions,255547.0,2024-09-25,Credit Card
CUST3280,1181,BNP Usage,Subscription & Promotions,36940.0,2024-05-09,Pay Transfer
ORG_US_1990,5783,Real Estate Booking,Fashion & Clothing,198579.0,2024-07-27,Debit Card
ORG_US_765,669,Real Estate Booking,Finance & Banking,111252.0,2024-08-01,Pay Transfer
CUST3819,5603,Retail Shopping,Finance & Banking,269749.0,2024-09-02,Credit Card
CUST2268,6946,BNP Usage,Fashion & Clothing,65847.0,2024-05-22,Credit Card
ORG_US_422,4516,Real Estate Booking,Fashion & Clothing,164131.0,2024-09-13,Wire Transfer
CUST2547,3985,Retail Shopping,Fashion & Clothing,119544.0,2025-02-20,Wire Transfer
ORG_US_1852,6587,BNP Usage,Finance & Banking,407001.0,2024-10-08,Pay Transfer
CUST2726,6119,Subscription Payment,Finance & Banking,496953.0,2024-10-27,Wire Transfer
ORG_US_280,5165,Retail Shopping,Finance & Banking,84027.0,2024-06-03,Wire Transfer
ORG_US_673,2576,BNP Usage,Real Estate,229574.0,2025-02-04,Debit Card
CUST2988,8718,Real Estate Booking,Real Estate,101704.0,2025-02-09,Credit Card
ORG_US_1002,4595,Retail Shopping,Finance & Banking,290578.0,2024-08-19,Debit Card
CUST3201,1381,Retail Shopping,Fashion & Clothing,72410.0,2024-03-02,Pay Transfer
CUST2900,7412,Subscription Payment,Fashion & Clothing,205143.0,2024-06-05,Pay Transfer
ORG_US_1560,8026,BNP Usage,Subscription & Promotions,269900.0,2024-10-12,Credit Card
ORG_US_150,2384,Subscription Payment,Subscription & Promotions,80317.0,2024-02-29,Credit Card
ORG_US_1523,9576,BNP Usage,Fashion & Clothing,101409.0,2024-03-14,Credit Card
CUST3022,6229,Subscription Payment,Real Estate,139090.0,2024-01-06,Debit Card
CUST2184,5493,Subscription Payment,Finance & Banking,361290.0,2024-08-15,Credit Card
CUST3825,7275,Subscription Payment,Finance & Banking,350332.0,2024-12-07,Credit Card
CUST2083,3442,BNP Usage,Subscription & Promotions,119036.0,2024-03-28,Pay Transfer
CUST2303,6687,BNP Usage,Fashion & Clothing,182051.0,2024-10-15,Wire Transfer
ORG_US_1622,9892,Retail Shopping,Subscription & Promotions,332659.0,2024-07-21,Pay Transfer
ORG_US_1661,7452,Subscription Payment,Real Estate,13650.0,2024-06-12,Debit Card
ORG_US_1165,4063,Real Estate Booking,Finance & Banking,270309.0,2024-10-02,Debit Card
ORG_US_152,8858,BNP Usage,Fashion & Clothing,263666.0,2024-10-05,Pay Transfer
ORG_US_795,1822,Subscription Payment,Finance & Banking,22155.0,2024-03-15,Wire Transfer
CUST3096,3845,BNP Usage,Real Estate,447982.0,2024-03-06,Pay Transfer
CUST3209,9793,Subscription Payment,Fashion & Clothing,268955.0,2024-03-06,Wire Transfer
CUST2827,3406,BNP Usage,Fashion & Clothing,291870.0,2025-02-17,Wire Transfer
CUST3313,7086,Subscription Payment,Finance & Banking,70488.0,2024-04-22,Pay Transfer
CUST3014,7658,Retail Shopping,Finance & Banking,110393.0,2024-07-31,Debit Card
ORG_US_649,6627,BNP Usage,Finance & Banking,101344.0,2024-12-02,Pay Transfer
ORG_US_934,1245,BNP Usage,Finance & Banking,11759.0,2025-03-05,Wire Transfer
ORG_US_608,8446,Real Estate Booking,Real Estate,191687.0,2025-02-23,Credit Card
CUST3672,4386,Real Estate Booking,Real Estate,479765.0,2024-07-29,Debit Card
CUST3677,5976,BNP Usage,Fashion & Clothing,485025.0,2024-01-14,Pay Transfer
CUST3278,6309,BNP Usage,Subscription & Promotions,245811.0,2024-07-12,Pay Transfer
ORG_US_545,2909,BNP Usage,Real Estate,21627.0,2024-05-16,Wire Transfer
ORG_US_1177,9981,Retail Shopping,Real Estate,48317.0,2025-03-20,Credit Card
ORG_US_1283,7743,BNP Usage,Finance & Banking,459409.0,2025-03-02,Pay Transfer
ORG_US_936,2567,Real Estate Booking,Finance & Banking,333328.0,2024-05-20,Pay Transfer
CUST3007,3569,BNP Usage,Subscription & Promotions,128799.0,2025-02-18,Pay Transfer
ORG_US_508,5802,Subscription Payment,Subscription & Promotions,257741.0,2024-12-21,Pay Transfer
CUST3978,4230,BNP Usage,Real Estate,235769.0,2024-06-06,Credit Card
ORG_US_1671,6760,BNP Usage,Subscription & Promotions,241015.0,2024-04-29,Wire Transfer
ORG_US_344,7667,Real Estate Booking,Subscription & Promotions,139299.0,2024-02-20,Debit Card
CUST3021,482,Retail Shopping,Real Estate,285493.0,2024-05-25,Wire Transfer
CUST3510,5807,Real Estate Booking,Fashion & Clothing,160009.0,2024-06-27,Credit Card
CUST3057,4495,Subscription Payment,Fashion & Clothing,99185.0,2024-01-15,Pay Transfer
CUST3388,9307,Retail Shopping,Subscription & Promotions,251259.0,2024-11-23,Pay Transfer
CUST2216,1604,Retail Shopping,Fashion & Clothing,226503.0,2024-09-24,Debit Card
ORG_US_1705,7273,BNP Usage,Fashion & Clothing,253317.0,2025-01-13,Wire Transfer
CUST3012,2278,Real Estate Booking,Real Estate,188439.0,2024-05-16,Debit Card
ORG_US_685,3755,BNP Usage,Fashion & Clothing,369331.0,2024-07-31,Wire Transfer
CUST2074,9681,BNP Usage,Fashion & Clothing,11827.0,2025-01-16,Credit Card
CUST3873,8088,BNP Usage,Subscription & Promotions,449074.0,2024-12-15,Debit Card
CUST3676,8046,Retail Shopping,Finance & Banking,321802.0,2024-12-13,Wire Transfer
ORG_US_1331,2625,Retail Shopping,Fashion & Clothing,251511.0,2024-11-26,Debit Card
ORG_US_1057,4963,Retail Shopping,Fashion & Clothing,311830.0,2024-10-31,Debit Card
CUST3531,1833,Subscription Payment,Subscription & Promotions,389854.0,2024-12-14,Credit Card
ORG_US_834,6824,Real Estate Booking,Fashion & Clothing,359346.0,2025-02-19,Credit Card
ORG_US_1303,2826,Real Estate Booking,Real Estate,481594.0,2024-09-13,Debit Card
CUST3837,1852,Real Estate Booking,Real Estate,183774.0,2024-05-31,Credit Card
CUST2803,662,Real Estate Booking,Fashion & Clothing,209908.0,2024-05-11,Credit Card
ORG_US_865,1778,Real Estate Booking,Real Estate,129107.0,2024-03-15,Credit Card
CUST2098,4638,Real Estate Booking,Subscription & Promotions,65534.0,2024-10-15,Debit Card
ORG_US_667,880,Retail Shopping,Finance & Banking,22950.0,2024-02-01,Debit Card
ORG_US_1111,3870,Subscription Payment,Finance & Banking,321715.0,2024-01-01,Pay Transfer
CUST3900,8884,Real Estate Booking,Subscription & Promotions,253240.0,2024-01-09,Debit Card
ORG_US_1511,4079,Real Estate Booking,Fashion & Clothing,280987.0,2024-10-03,Debit Card
CUST2723,8512,Real Estate Booking,Real Estate,244162.0,2025-02-11,Wire Transfer
ORG_US_052,9207,BNP Usage,Real Estate,29150.0,2024-09-18,Debit Card
CUST3502,6908,BNP Usage,Fashion & Clothing,230981.0,2024-06-03,Wire Transfer
CUST2196,8000,Real Estate Booking,Subscription & Promotions,487420.0,2025-03-10,Pay Transfer
ORG_US_994,4242,BNP Usage,Finance & Banking,105324.0,2024-12-15,Wire Transfer
ORG_US_235,7509,Subscription Payment,Fashion & Clothing,8990.0,2024-09-10,Pay Transfer
ORG_US_705,2759,Retail Shopping,Fashion & Clothing,300283.0,2025-02-24,Credit Card
CUST3456,9400,Retail Shopping,Real Estate,100579.0,2024-07-04,Pay Transfer
ORG_US_333,5357,Subscription Payment,Real Estate,130727.0,2024-03-01,Pay Transfer
ORG_US_461,8736,Retail Shopping,Fashion & Clothing,418272.0,2024-12-30,Wire Transfer
CUST2434,9049,Real Estate Booking,Subscription & Promotions,40330.0,2025-03-14,Credit Card
ORG_US_1855,4321,Real Estate Booking,Real Estate,483085.0,2024-03-13,Pay Transfer
CUST2113,6281,Real Estate Booking,Finance & Banking,310440.0,2024-11-20,Credit Card
ORG_US_1129,4366,Real Estate Booking,Finance & Banking,302514.0,2024-05-17,Credit Card
CUST3968,3164,Real Estate Booking,Fashion & Clothing,26758.0,2024-02-23,Credit Card
ORG_US_944,2331,Retail Shopping,Subscription & Promotions,497062.0,2024-11-12,Wire Transfer
CUST2064,200,Subscription Payment,Finance & Banking,308431.0,2024-10-18,Debit Card
CUST3756,5989,BNP Usage,Finance & Banking,132479.0,2024-12-05,Credit Card
CUST2228,5803,BNP Usage,Subscription & Promotions,326182.0,2024-04-25,Wire Transfer
CUST3077,7761,Retail Shopping,Fashion & Clothing,496902.0,2024-02-10,Wire Transfer
CUST3484,3028,Subscription Payment,Fashion & Clothing,23916.0,2024-06-04,Wire Transfer
ORG_US_494,3029,Subscription Payment,Fashion & Clothing,411509.0,2024-07-16,Credit Card
ORG_US_1968,4953,Subscription Payment,Real Estate,419948.0,2024-01-13,Debit Card
CUST3902,6561,Retail Shopping,Finance & Banking,59462.0,2024-06-29,Credit Card
ORG_US_1317,6376,Retail Shopping,Fashion & Clothing,78358.0,2024-11-24,Pay Transfer
CUST3510,4350,Real Estate Booking,Finance & Banking,403631.0,2024-11-05,Pay Transfer
CUST2451,4389,Retail Shopping,Fashion & Clothing,120593.0,2024-08-23,Pay Transfer
ORG_US_1924,8269,Subscription Payment,Real Estate,237628.0,2024-01-15,Pay Transfer
CUST2178,6314,BNP Usage,Real Estate,438650.0,2024-04-19,Pay Transfer
ORG_US_1519,8342,Retail Shopping,Finance & Banking,104892.0,2024-06-30,Credit Card
CUST2983,1513,BNP Usage,Real Estate,128444.0,2024-11-08,Pay Transfer
CUST3831,8478,BNP Usage,Subscription & Promotions,432889.0,2025-01-19,Debit Card
ORG_US_1050,4669,BNP Usage,Real Estate,260380.0,2024-07-13,Credit Card
ORG_US_953,3134,BNP Usage,Real Estate,146063.0,2024-01-13,Credit Card
ORG_US_250,7812,BNP Usage,Finance & Banking,298190.0,2024-01-31,Wire Transfer
CUST2804,9392,Subscription Payment,Finance & Banking,177220.0,2024-06-11,Wire Transfer
